,Compound,Date,Negative,Nuetral,Postitive,Target,Tweet Ago
0,-0.6249,Mon Mar 26 19:03:02 +0000 2018,0.194,0.806,0.0,@BBC,0
1,0.7783,Mon Mar 26 18:24:04 +0000 2018,0.0,0.688,0.312,@BBC,1
2,0.0,Mon Mar 26 17:30:04 +0000 2018,0.0,1.0,0.0,@BBC,2
3,0.5859,Mon Mar 26 16:25:02 +0000 2018,0.0,0.787,0.213,@BBC,3
4,-0.3818,Mon Mar 26 15:45:04 +0000 2018,0.161,0.744,0.095,@BBC,4
5,0.0,Mon Mar 26 15:11:57 +0000 2018,0.0,1.0,0.0,@BBC,5
6,0.0,Mon Mar 26 12:58:02 +0000 2018,0.0,1.0,0.0,@BBC,6
7,0.4404,Mon Mar 26 11:48:03 +0000 2018,0.0,0.828,0.172,@BBC,7
8,-0.5106,Mon Mar 26 11:00:05 +0000 2018,0.163,0.837,0.0,@BBC,8
9,-0.128,Mon Mar 26 10:00:07 +0000 2018,0.07,0.93,0.0,@BBC,9
10,0.4588,Mon Mar 26 09:35:06 +0000 2018,0.0,0.864,0.136,@BBC,10
11,0.3182,Mon Mar 26 09:33:01 +0000 2018,0.0,0.753,0.247,@BBC,11
12,0.0,Mon Mar 26 09:04:01 +0000 2018,0.0,1.0,0.0,@BBC,12
13,0.5819,Mon Mar 26 08:29:04 +0000 2018,0.0,0.818,0.182,@BBC,13
14,0.2263,Mon Mar 26 07:30:10 +0000 2018,0.09,0.749,0.161,@BBC,14
15,0.128,Sun Mar 25 19:44:01 +0000 2018,0.077,0.821,0.101,@BBC,15
16,-0.7506,Sun Mar 25 19:15:06 +0000 2018,0.286,0.714,0.0,@BBC,16
17,0.5719,Sun Mar 25 18:40:04 +0000 2018,0.0,0.837,0.163,@BBC,17
18,0.0,Sun Mar 25 18:13:03 +0000 2018,0.0,1.0,0.0,@BBC,18
19,0.5267,Sun Mar 25 17:30:07 +0000 2018,0.0,0.815,0.185,@BBC,19
